rule,confidence
"{11, 4}: {6}",0.3333333333333333
"{8, 7}: {1}",0.3333333333333333
"{13, 6}: {9}",0.3333333333333333
"{12, 3}: {5}",0.3333333333333333
"{4, 4}: {5}",0.3333333333333333
"{14, 4}: {4}",0.3333333333333333
"{6, 6}: {7}",0.3333333333333333
"{2, 1}: {8}",0.3333333333333333
"{4, 0}: {9}",0.3333333333333333
"{11, 11}: {3}",0.3333333333333333
"{13, 4}: {9}",0.3333333333333333
"{2, 1}: {6}",0.3333333333333333
"{4, 4}: {3}",0.3333333333333333
"{4, 3}: {4}",0.3333333333333333
"{6, 1}: {7}",0.3333333333333333
"{4, 4}: {8}",0.3333333333333333
"{9, 8}: {5}",0.3333333333333333
"{11, 4}: {3}",0.3333333333333333
"{4, 0}: {2}",0.3333333333333333
"{12, 3}: {4}",0.3333333333333333
"{12, 10}: {4}",0.3333333333333333
"{9, 2}: {7}",0.3333333333333333
"{4, 0}: {4}",0.3333333333333333
"{6, 1}: {1}",0.3333333333333333
"{2, 1}: {5}",0.3333333333333333
"{14, 4}: {6}",0.3333333333333333
"{11, 6}: {7}",0.3333333333333333
"{12, 3}: {6}",0.3333333333333333
"{11, 6}: {6}",0.3333333333333333
"{13, 4}: {7}",0.3333333333333333
"{10, 4}: {5}",0.3333333333333333
"{13, 6}: {3}",0.3333333333333333
"{9, 8}: {3}",0.3333333333333333
"{6, 6}: {1}",0.3333333333333333
"{9, 2}: {3}",0.3333333333333333
"{10, 10}: {2}",0.3333333333333333
"{14, 4}: {5}",0.3333333333333333
"{5, 4}: {1}",0.3333333333333333
"{12, 10}: {3}",0.3333333333333333
"{9, 2}: {8}",0.3333333333333333
"{13, 6}: {8}",0.3333333333333333
"{6, 6}: {0}",0.3333333333333333
"{8, 7}: {7}",0.3333333333333333
"{6, 3}: {2}",0.3125
"{9, 3}: {2}",0.3
"{10, 8}: {5}",0.2857142857142857
"{6, 4}: {8}",0.2857142857142857
"{6, 4}: {1}",0.2857142857142857
"{8, 6}: {7}",0.2727272727272727
"{8, 6}: {3}",0.2727272727272727
"{8, 3}: {4}",0.2727272727272727
"{12, 11}: {6}",0.25
"{14, 11}: {4}",0.25
"{9, 9}: {4}",0.25
"{11, 9}: {7}",0.25
"{10, 9}: {3}",0.25
"{10, 3}: {9}",0.25
"{7, 4}: {7}",0.25
"{11, 9}: {2}",0.25
"{8, 5}: {3}",0.25
"{5, 5}: {0}",0.25
"{9, 9}: {6}",0.25
"{13, 10}: {4}",0.25
"{5, 5}: {2}",0.25
"{9, 6}: {4}",0.25
"{8, 5}: {8}",0.25
"{11, 10}: {2}",0.25
"{8, 8}: {9}",0.25
"{8, 8}: {2}",0.25
"{8, 2}: {6}",0.25
"{8, 5}: {4}",0.25
"{14, 11}: {1}",0.25
"{4, 2}: {6}",0.25
"{8, 8}: {6}",0.25
"{13, 10}: {7}",0.25
"{11, 10}: {7}",0.25
"{5, 1}: {1}",0.25
"{11, 8}: {4}",0.25
"{11, 10}: {4}",0.25
"{5, 1}: {9}",0.25
"{8, 2}: {5}",0.25
"{8, 5}: {5}",0.25
"{5, 5}: {7}",0.25
"{5, 1}: {5}",0.25
"{5, 5}: {4}",0.25
"{8, 8}: {3}",0.25
"{10, 3}: {7}",0.25
"{14, 11}: {2}",0.25
"{14, 11}: {5}",0.25
"{5, 1}: {4}",0.25
"{10, 3}: {3}",0.25
"{7, 3}: {8}",0.2222222222222222
"{7, 2}: {2}",0.2222222222222222
"{7, 3}: {3}",0.2222222222222222
"{9, 4}: {5}",0.2222222222222222
"{9, 7}: {4}",0.2222222222222222
"{9, 4}: {2}",0.2222222222222222
"{7, 3}: {2}",0.2222222222222222
"{9, 7}: {3}",0.2222222222222222
"{9, 7}: {8}",0.2222222222222222
"{8, 4}: {4}",0.21428571428571427
"{13, 12}: {1}",0.2
"{10, 5}: {7}",0.2
"{5, 2}: {2}",0.2
"{5, 2}: {12}",0.2
"{11, 11}: {1}",0.2
"{11, 11}: {2}",0.2
"{13, 12}: {8}",0.2
"{13, 12}: {3}",0.2
"{10, 7}: {3}",0.2
"{10, 5}: {9}",0.2
"{10, 7}: {6}",0.2
"{7, 7}: {3}",0.2
"{12, 5}: {5}",0.2
"{12, 5}: {3}",0.2
"{10, 5}: {5}",0.2
"{5, 2}: {9}",0.2
"{10, 7}: {5}",0.2
"{13, 12}: {2}",0.2
"{12, 5}: {11}",0.2
"{13, 12}: {5}",0.2
"{6, 3}: {6}",0.1875
"{7, 5}: {7}",0.1875
"{7, 6}: {2}",0.18181818181818182
"{8, 6}: {4}",0.18181818181818182
"{8, 6}: {2}",0.18181818181818182
"{7, 6}: {5}",0.18181818181818182
"{12, 11}: {2}",0.16666666666666666
"{12, 11}: {5}",0.16666666666666666
"{5, 3}: {1}",0.16666666666666666
"{5, 4}: {9}",0.16666666666666666
"{5, 4}: {6}",0.16666666666666666
"{5, 3}: {5}",0.16666666666666666
"{8, 7}: {3}",0.16666666666666666
"{12, 11}: {7}",0.16666666666666666
"{7, 4}: {4}",0.16666666666666666
"{12, 11}: {4}",0.16666666666666666
"{5, 3}: {2}",0.16666666666666666
"{5, 4}: {3}",0.16666666666666666
"{7, 4}: {5}",0.16666666666666666
"{5, 3}: {6}",0.16666666666666666
"{8, 7}: {13}",0.16666666666666666
"{10, 4}: {7}",0.16666666666666666
"{9, 8}: {10}",0.16666666666666666
"{7, 4}: {2}",0.16666666666666666
"{9, 8}: {4}",0.16666666666666666
"{5, 4}: {8}",0.16666666666666666
"{6, 2}: {3}",0.15384615384615385
"{6, 2}: {1}",0.15384615384615385
"{6, 2}: {6}",0.15384615384615385
"{6, 2}: {5}",0.15384615384615385
"{6, 2}: {2}",0.15384615384615385
"{6, 2}: {7}",0.15384615384615385
"{6, 4}: {10}",0.14285714285714285
"{10, 8}: {3}",0.14285714285714285
"{6, 4}: {2}",0.14285714285714285
"{9, 5}: {4}",0.14285714285714285
"{10, 8}: {2}",0.14285714285714285
"{10, 8}: {10}",0.14285714285714285
"{10, 8}: {6}",0.14285714285714285
"{8, 4}: {6}",0.14285714285714285
"{9, 5}: {1}",0.14285714285714285
"{9, 5}: {3}",0.14285714285714285
"{6, 4}: {5}",0.14285714285714285
"{10, 8}: {7}",0.14285714285714285
"{9, 5}: {8}",0.14285714285714285
"{11, 11}: {4}",0.13333333333333333
"{11, 8}: {6}",0.125
"{6, 3}: {3}",0.125
"{9, 6}: {9}",0.125
"{9, 6}: {1}",0.125
"{11, 8}: {9}",0.125
"{4, 2}: {4}",0.125
"{10, 3}: {2}",0.125
"{4, 2}: {2}",0.125
"{4, 2}: {12}",0.125
"{11, 8}: {1}",0.125
"{11, 10}: {5}",0.125
"{7, 5}: {1}",0.125
"{7, 5}: {5}",0.125
"{11, 8}: {2}",0.125
"{9, 6}: {10}",0.125
"{7, 5}: {2}",0.125
"{11, 8}: {3}",0.125
"{11, 8}: {5}",0.125
"{6, 3}: {1}",0.125
"{10, 3}: {6}",0.125
"{11, 10}: {6}",0.125
"{7, 2}: {6}",0.1111111111111111
"{7, 3}: {10}",0.1111111111111111
"{7, 3}: {4}",0.1111111111111111
"{7, 3}: {13}",0.1111111111111111
"{9, 4}: {10}",0.1111111111111111
"{9, 7}: {7}",0.1111111111111111
"{9, 4}: {8}",0.1111111111111111
"{9, 4}: {4}",0.1111111111111111
"{7, 2}: {3}",0.1111111111111111
"{9, 4}: {9}",0.1111111111111111
"{7, 2}: {1}",0.1111111111111111
"{9, 4}: {1}",0.1111111111111111
"{9, 7}: {6}",0.1111111111111111
"{9, 7}: {1}",0.1111111111111111
"{9, 3}: {4}",0.1
"{9, 3}: {7}",0.1
"{9, 3}: {5}",0.1
"{9, 3}: {6}",0.1
"{9, 3}: {3}",0.1
"{9, 3}: {11}",0.1
"{9, 3}: {13}",0.1
"{7, 6}: {10}",0.09090909090909091
"{8, 3}: {3}",0.09090909090909091
"{8, 3}: {2}",0.09090909090909091
"{8, 6}: {6}",0.09090909090909091
"{7, 6}: {3}",0.09090909090909091
"{8, 3}: {8}",0.09090909090909091
"{7, 6}: {12}",0.09090909090909091
"{8, 3}: {5}",0.09090909090909091
"{5, 3}: {9}",0.08333333333333333
"{6, 5}: {7}",0.08333333333333333
"{6, 5}: {6}",0.08333333333333333
"{7, 4}: {9}",0.08333333333333333
"{5, 3}: {11}",0.08333333333333333
"{5, 3}: {3}",0.08333333333333333
"{7, 4}: {1}",0.08333333333333333
"{6, 5}: {8}",0.08333333333333333
"{5, 3}: {4}",0.08333333333333333
"{6, 5}: {4}",0.08333333333333333
"{12, 11}: {1}",0.08333333333333333
"{7, 4}: {6}",0.08333333333333333
"{6, 2}: {4}",0.07692307692307693
"{8, 4}: {10}",0.07142857142857142
"{8, 4}: {5}",0.07142857142857142
"{8, 4}: {1}",0.07142857142857142
"{8, 4}: {9}",0.07142857142857142
"{11, 11}: {7}",0.06666666666666667
"{11, 11}: {11}",0.06666666666666667
"{7, 5}: {6}",0.0625
"{6, 3}: {5}",0.0625
"{6, 3}: {8}",0.0625
"{6, 3}: {12}",0.0625
"{6, 3}: {9}",0.0625
