rule,confidence
"{14, 5}: {2}",1.0
"{7, 0}: {2}",1.0
"{8, 1}: {7}",1.0
"{17, 4}: {4}",1.0
"{12, 7}: {10}",1.0
"{12, 0}: {3}",1.0
"{10, 0}: {5}",1.0
"{9, 1}: {5}",1.0
"{7, 1}: {2}",1.0
"{2, 0}: {1}",1.0
"{15, 10}: {6}",1.0
"{17, 14}: {11}",1.0
"{13, 8}: {6}",1.0
"{17, 7}: {10}",1.0
"{14, 8}: {4}",1.0
"{13, 9}: {3}",1.0
"{17, 15}: {2}",1.0
"{15, 0}: {2}",1.0
"{16, 16}: {2}",1.0
"{14, 6}: {4}",1.0
"{16, 9}: {8}",1.0
"{15, 14}: {5}",1.0
"{13, 3}: {5}",1.0
"{10, 9}: {4}",0.75
"{10, 10}: {1}",0.6666666666666666
"{4, 3}: {2}",0.6666666666666666
"{11, 5}: {4}",0.5
"{13, 13}: {4}",0.5
"{4, 1}: {6}",0.5
"{12, 4}: {3}",0.5
"{11, 5}: {8}",0.5
"{11, 3}: {7}",0.5
"{3, 2}: {7}",0.5
"{17, 12}: {9}",0.5
"{11, 3}: {5}",0.5
"{16, 15}: {2}",0.5
"{16, 12}: {2}",0.5
"{16, 15}: {5}",0.5
"{8, 0}: {6}",0.5
"{16, 14}: {10}",0.5
"{12, 6}: {6}",0.5
"{16, 12}: {1}",0.5
"{17, 12}: {2}",0.5
"{16, 14}: {6}",0.5
"{13, 10}: {10}",0.5
"{11, 7}: {2}",0.5
"{8, 0}: {9}",0.5
"{3, 1}: {0}",0.5
"{12, 8}: {3}",0.5
"{11, 9}: {3}",0.5
"{10, 6}: {3}",0.5
"{10, 6}: {6}",0.5
"{11, 7}: {6}",0.5
"{13, 5}: {4}",0.5
"{13, 5}: {1}",0.5
"{13, 13}: {6}",0.5
"{8, 2}: {7}",0.5
"{3, 1}: {7}",0.5
"{14, 12}: {1}",0.5
"{14, 12}: {11}",0.5
"{3, 2}: {11}",0.5
"{12, 4}: {6}",0.5
"{9, 9}: {1}",0.5
"{10, 4}: {2}",0.5
"{4, 1}: {4}",0.5
"{12, 6}: {3}",0.5
"{12, 8}: {4}",0.5
"{7, 2}: {4}",0.4444444444444444
"{9, 5}: {2}",0.42857142857142855
"{10, 5}: {2}",0.4
"{10, 7}: {2}",0.4
"{7, 7}: {2}",0.4
"{7, 7}: {1}",0.4
"{5, 2}: {3}",0.4
"{12, 5}: {4}",0.4
"{7, 5}: {3}",0.375
"{9, 6}: {3}",0.375
"{4, 2}: {3}",0.375
"{7, 6}: {1}",0.36363636363636365
"{8, 3}: {6}",0.36363636363636365
"{8, 4}: {2}",0.35714285714285715
"{6, 5}: {2}",0.3333333333333333
"{11, 4}: {4}",0.3333333333333333
"{11, 6}: {2}",0.3333333333333333
"{12, 10}: {7}",0.3333333333333333
"{6, 1}: {3}",0.3333333333333333
"{6, 5}: {1}",0.3333333333333333
"{13, 4}: {8}",0.3333333333333333
