rule,confidence
"{6, 4}: {2}",0.14285714285714285
"{9, 5}: {3}",0.14285714285714285
"{9, 5}: {1}",0.14285714285714285
"{10, 8}: {3}",0.14285714285714285
"{10, 8}: {6}",0.14285714285714285
"{6, 4}: {10}",0.14285714285714285
"{6, 4}: {5}",0.14285714285714285
"{9, 5}: {8}",0.14285714285714285
"{10, 8}: {10}",0.14285714285714285
"{10, 8}: {7}",0.14285714285714285
"{9, 5}: {4}",0.14285714285714285
"{8, 4}: {6}",0.14285714285714285
"{10, 8}: {2}",0.14285714285714285
"{11, 11}: {4}",0.13333333333333333
"{7, 5}: {1}",0.125
"{10, 3}: {6}",0.125
"{11, 8}: {5}",0.125
"{9, 6}: {10}",0.125
"{6, 3}: {1}",0.125
"{11, 8}: {3}",0.125
"{7, 5}: {2}",0.125
"{11, 10}: {6}",0.125
"{9, 6}: {1}",0.125
"{4, 2}: {4}",0.125
"{9, 6}: {9}",0.125
"{11, 8}: {6}",0.125
"{10, 3}: {2}",0.125
"{4, 2}: {2}",0.125
"{11, 8}: {2}",0.125
"{7, 5}: {5}",0.125
"{11, 8}: {1}",0.125
"{6, 3}: {3}",0.125
"{11, 10}: {5}",0.125
"{11, 8}: {9}",0.125
"{4, 2}: {12}",0.125
"{9, 4}: {8}",0.1111111111111111
"{9, 7}: {1}",0.1111111111111111
"{9, 4}: {10}",0.1111111111111111
"{9, 4}: {9}",0.1111111111111111
"{7, 2}: {3}",0.1111111111111111
"{7, 3}: {10}",0.1111111111111111
"{9, 4}: {1}",0.1111111111111111
"{9, 7}: {7}",0.1111111111111111
"{9, 7}: {6}",0.1111111111111111
"{7, 3}: {13}",0.1111111111111111
"{7, 3}: {4}",0.1111111111111111
"{9, 4}: {4}",0.1111111111111111
"{7, 2}: {1}",0.1111111111111111
"{7, 2}: {6}",0.1111111111111111
"{9, 3}: {5}",0.1
"{9, 3}: {11}",0.1
"{9, 3}: {13}",0.1
"{9, 3}: {4}",0.1
"{9, 3}: {6}",0.1
"{9, 3}: {7}",0.1
"{9, 3}: {3}",0.1
"{8, 3}: {3}",0.09090909090909091
"{8, 3}: {5}",0.09090909090909091
"{8, 3}: {8}",0.09090909090909091
"{7, 6}: {10}",0.09090909090909091
"{7, 6}: {3}",0.09090909090909091
"{8, 6}: {6}",0.09090909090909091
"{7, 6}: {12}",0.09090909090909091
"{8, 3}: {2}",0.09090909090909091
"{5, 3}: {4}",0.08333333333333333
"{12, 11}: {1}",0.08333333333333333
"{7, 4}: {6}",0.08333333333333333
"{6, 5}: {4}",0.08333333333333333
"{5, 3}: {3}",0.08333333333333333
"{6, 5}: {6}",0.08333333333333333
"{6, 5}: {8}",0.08333333333333333
"{7, 4}: {9}",0.08333333333333333
"{7, 4}: {1}",0.08333333333333333
"{5, 3}: {11}",0.08333333333333333
"{5, 3}: {9}",0.08333333333333333
"{6, 5}: {7}",0.08333333333333333
"{6, 2}: {4}",0.07692307692307693
"{8, 4}: {1}",0.07142857142857142
"{8, 4}: {5}",0.07142857142857142
"{8, 4}: {10}",0.07142857142857142
"{8, 4}: {9}",0.07142857142857142
"{11, 11}: {11}",0.06666666666666667
"{11, 11}: {7}",0.06666666666666667
"{6, 3}: {12}",0.0625
"{6, 3}: {5}",0.0625
"{7, 5}: {6}",0.0625
"{6, 3}: {9}",0.0625
"{6, 3}: {8}",0.0625
